Raw Score," Inhibit","  Self-Monitor","  Shift","  Emotional Crontrol","  Initiate","  Working Memory","  Plan/Organize","  Task-Monitor","  Organization of Materials "
24,"[>90,>99]","[null, null]","[>90,>99]","[83,>99]","[null, null]","[83,>99]","[79,>99]","[null, null]","[null, null]"
23,"[89,>99]","[null, null]","[90,>99]","[80,>99]","[null, null]","[80,99]","[77,>99]","[null, null]","[null, null]"
22,"[85,>99]","[null, null]","[87,99]","[77,>99]","[null, null]","[77,99]","[74,>99]","[null, null]","[null, null]"
21,"[82,>99]","[null, null]","[84,99]","[75,99]","[null, null]","[75,99]","[71,99]","[null, null]","[null, null]"
20,"[79,99]","[null, null]","[80,99]","[72,97]","[null, null]","[72,98]","[69,97]","[null, null]","[null, null]"
19,"[75,97]","[null, null]","[77,97]","[70,94]","[null, null]","[69,96]","[66,97]","[null, null]","[null, null]"
18,"[72,95]","[null, null]","[72,97]","[67,93]","[null, null]","[66,92]","[63,95]","[null, null]","[77,>99]"
17,"[68,95]","[null, null]","[71,96]","[64,92]","[null, null]","[64,89]","[61,89]","[null, null]","[74,98]"
16,"[65,93]","[null, null]","[67,95]","[62,88]","[null, null]","[61,84]","[58,88]","[null, null]","[71,98]"
15,"[61,90]","[null, null]","[62,90]","[59,83]","[84,>99]","[51,84]","[56,80]","[77,>99]","[67,97]"
14,"[58,86]","[null, null]","[61,84]","[56,79]","[79,99]","[55,77]","[53,74]","[73,99]","[64,95]"
13,"[54,76]","[null, null]","[56,78]","[54,72]","[75,99]","[53,71]","[50,69]","[69,97]","[61,92]"
12,"[51,69]","[79,>99]","[53,71]","[51,63]","[70,99]","[50,65]","[48,54]","[65,93]","[58,88]"
11,"[48,54]","[74,99]","[49,62]","[48,58]","[66,95]","[47,50]","[46,47]","[61,90]","[57,84]"
10,"[44,39]","[69,97]","[46,51]","[46,51]","[61,88]","[44,41]","[43,35]","[57,85]","[53,77]"
9,"[41,24]","[64,91]","[43,37]","[43,39]","[57,80]","[42,39]","[40,27]","[53,65]","[49,65]"
8,"[37,12]","[59,89]","[39,20]","[40,27]","[52,69]","[39,20]","[37,10]","[49,58]","[46,48]"
7,"[null, null]","[54,72]","[null, null]","[null, null]","[48,53]","[null, null]","[null, null]","[47,46]","[42,28]"
6,"[null, null]","[49,61]","[null, null]","[null, null]","[43,44]","[null, null]","[null, null]","[41,29]","[38,15]"
5,"[null, null]","[44,47]","[null, null]","[null, null]","[39,24]","[null, null]","[null, null]","[38,14]","[null, null]"
4,"[null, null]","[39,28]","[null, null]","[null, null]","[null, null]","[null, null]","[null, null]","[null, null]","[null, null]"
